artist_name,album_name,track_number,song_id,song_name,line_number,section_name,line,section_artist,album_count,section_count
Spice Girls,Spice,1,89740,Wannabe,21,Verse 2,"Oh what you think about that, now you know how I feel",Posh,106.0,43.0
Spice Girls,Spice,1,89740,Wannabe,22,Verse 2,"Say you could handle my love, are you for real?",Sporty,231.0,74.0
Spice Girls,Spice,1,89740,Wannabe,22,Verse 2,"Say you could handle my love, are you for real?",Baby,233.0,96.0
Spice Girls,Spice,1,89740,Wannabe,22,Verse 2,"Say you could handle my love, are you for real?",Scary,261.0,116.0
Spice Girls,Spice,1,89740,Wannabe,22,Verse 2,"Say you could handle my love, are you for real?",Ginger,232.0,68.0
Spice Girls,Spice,1,89740,Wannabe,22,Verse 2,"Say you could handle my love, are you for real?",Posh,106.0,43.0
Spice Girls,Spice,1,89740,Wannabe,23,Verse 2,(Are you for real?),Sporty,231.0,74.0
Spice Girls,Spice,1,89740,Wannabe,23,Verse 2,(Are you for real?),Baby,233.0,96.0
Spice Girls,Spice,1,89740,Wannabe,23,Verse 2,(Are you for real?),Scary,261.0,116.0
Spice Girls,Spice,1,89740,Wannabe,23,Verse 2,(Are you for real?),Ginger,232.0,68.0
Spice Girls,Spice,1,89740,Wannabe,23,Verse 2,(Are you for real?),Posh,106.0,43.0
Spice Girls,Spice,1,89740,Wannabe,24,Verse 2,"I won't be hasty, I'll give you a try",Sporty,231.0,74.0
Spice Girls,Spice,1,89740,Wannabe,24,Verse 2,"I won't be hasty, I'll give you a try",Baby,233.0,96.0
Spice Girls,Spice,1,89740,Wannabe,24,Verse 2,"I won't be hasty, I'll give you a try",Scary,261.0,116.0
Spice Girls,Spice,1,89740,Wannabe,24,Verse 2,"I won't be hasty, I'll give you a try",Ginger,232.0,68.0
Spice Girls,Spice,1,89740,Wannabe,24,Verse 2,"I won't be hasty, I'll give you a try",Posh,106.0,43.0
Spice Girls,Spice,1,89740,Wannabe,25,Verse 2,"If you really bug me, then I'll say goodbye",Sporty,231.0,74.0
Spice Girls,Spice,1,89740,Wannabe,25,Verse 2,"If you really bug me, then I'll say goodbye",Baby,233.0,96.0
Spice Girls,Spice,1,89740,Wannabe,25,Verse 2,"If you really bug me, then I'll say goodbye",Scary,261.0,116.0
Spice Girls,Spice,1,89740,Wannabe,25,Verse 2,"If you really bug me, then I'll say goodbye",Ginger,232.0,68.0
Spice Girls,Spice,1,89740,Wannabe,25,Verse 2,"If you really bug me, then I'll say goodbye",Posh,106.0,43.0
Spice Girls,Spice,1,89740,Wannabe,26,Pre-Chorus,"Yo, I'll tell you what I want, what I really, really want",Scary,261.0,94.0
Spice Girls,Spice,1,89740,Wannabe,26,Pre-Chorus,"Yo, I'll tell you what I want, what I really, really want",Ginger,232.0,65.0
Spice Girls,Spice,1,89740,Wannabe,27,Pre-Chorus,"So tell me what you want, what you really, really want",Scary,261.0,94.0
Spice Girls,Spice,1,89740,Wannabe,27,Pre-Chorus,"So tell me what you want, what you really, really want",Ginger,232.0,65.0
Spice Girls,Spice,1,89740,Wannabe,28,Pre-Chorus,"I wanna (Hey!), I wanna (Hey!), I wanna (Hey!), I wanna (Hey!)",Scary,261.0,94.0
Spice Girls,Spice,1,89740,Wannabe,28,Pre-Chorus,"I wanna (Hey!), I wanna (Hey!), I wanna (Hey!), I wanna (Hey!)",Ginger,232.0,65.0
Spice Girls,Spice,1,89740,Wannabe,29,Pre-Chorus,"I wanna really, really, really wanna ""zig-a-zig"", ah",Scary,261.0,94.0
Spice Girls,Spice,1,89740,Wannabe,29,Pre-Chorus,"I wanna really, really, really wanna ""zig-a-zig"", ah",Ginger,232.0,65.0
Spice Girls,Spice,1,89740,Wannabe,30,Chorus,"If you wanna be my lover, you gotta get with my friends",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,30,Chorus,"If you wanna be my lover, you gotta get with my friends",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,30,Chorus,"If you wanna be my lover, you gotta get with my friends",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,31,Chorus,(Gotta get with my friends),All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,31,Chorus,(Gotta get with my friends),Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,31,Chorus,(Gotta get with my friends),Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,32,Chorus,"Make it last forever, friendship never ends",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,32,Chorus,"Make it last forever, friendship never ends",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,32,Chorus,"Make it last forever, friendship never ends",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,33,Chorus,"If you wanna be my lover, you have got to give",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,33,Chorus,"If you wanna be my lover, you have got to give",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,33,Chorus,"If you wanna be my lover, you have got to give",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,34,Chorus,(You've got to give),All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,34,Chorus,(You've got to give),Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,34,Chorus,(You've got to give),Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,35,Chorus,"Taking is too easy, but that's the way it is",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,35,Chorus,"Taking is too easy, but that's the way it is",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,35,Chorus,"Taking is too easy, but that's the way it is",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,36,Verse 3,So here's a story from A to Z,Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,36,Verse 3,So here's a story from A to Z,Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,36,Verse 3,So here's a story from A to Z,All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,37,Verse 3,"You wanna get with me, you gotta listen carefully",Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,37,Verse 3,"You wanna get with me, you gotta listen carefully",Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,37,Verse 3,"You wanna get with me, you gotta listen carefully",All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,38,Verse 3,We got Em in the place who likes it in your face,Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,38,Verse 3,We got Em in the place who likes it in your face,Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,38,Verse 3,We got Em in the place who likes it in your face,All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,39,Verse 3,We got G like MC who likes it on an-,Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,39,Verse 3,We got G like MC who likes it on an-,Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,39,Verse 3,We got G like MC who likes it on an-,All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,40,Verse 3,"Easy V doesn't come for free, she's a real lady",Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,40,Verse 3,"Easy V doesn't come for free, she's a real lady",Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,40,Verse 3,"Easy V doesn't come for free, she's a real lady",All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,41,Verse 3,"And as for me, haha, you'll see",Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,41,Verse 3,"And as for me, haha, you'll see",Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,41,Verse 3,"And as for me, haha, you'll see",All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,42,Verse 3,Slam your body down and wind it all around,Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,42,Verse 3,Slam your body down and wind it all around,Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,42,Verse 3,Slam your body down and wind it all around,All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,43,Verse 3,Slam your body down and wind it all around,Scary,261.0,24.0
Spice Girls,Spice,1,89740,Wannabe,43,Verse 3,Slam your body down and wind it all around,Ginger,232.0,22.0
Spice Girls,Spice,1,89740,Wannabe,43,Verse 3,Slam your body down and wind it all around,All,250.0,8.0
Spice Girls,Spice,1,89740,Wannabe,44,Chorus,"If you wanna be my lover, you gotta get with my friends",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,44,Chorus,"If you wanna be my lover, you gotta get with my friends",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,44,Chorus,"If you wanna be my lover, you gotta get with my friends",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,45,Chorus,(Gotta get with my friends),All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,45,Chorus,(Gotta get with my friends),Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,45,Chorus,(Gotta get with my friends),Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,46,Chorus,"Make it last forever, friendship never ends",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,46,Chorus,"Make it last forever, friendship never ends",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,46,Chorus,"Make it last forever, friendship never ends",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,47,Chorus,"If you wanna be my lover, you have got to give",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,47,Chorus,"If you wanna be my lover, you have got to give",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,47,Chorus,"If you wanna be my lover, you have got to give",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,48,Chorus,(You've got to give),All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,48,Chorus,(You've got to give),Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,48,Chorus,(You've got to give),Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,49,Chorus,"Taking is too easy, but that's the way it is",All,250.0,656.0
Spice Girls,Spice,1,89740,Wannabe,49,Chorus,"Taking is too easy, but that's the way it is",Baby,233.0,207.0
Spice Girls,Spice,1,89740,Wannabe,49,Chorus,"Taking is too easy, but that's the way it is",Scary,261.0,131.0
Spice Girls,Spice,1,89740,Wannabe,50,Outro,If you wanna be my lover,All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,50,Outro,If you wanna be my lover,Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,51,Outro,"(You gotta, you gotta, you gotta, you gotta, you gotta slam)",All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,51,Outro,"(You gotta, you gotta, you gotta, you gotta, you gotta slam)",Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,52,Outro,Make it last forever,All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,52,Outro,Make it last forever,Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,53,Outro,"(Slam, slam, slam, slam)",All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,53,Outro,"(Slam, slam, slam, slam)",Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,54,Outro,Slam your body down and wind it all around,All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,54,Outro,Slam your body down and wind it all around,Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,55,Outro,Slam your body down and wind it all around,All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,55,Outro,Slam your body down and wind it all around,Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,56,Outro,"(Hey, hey, hey, hey, hey, hey)",All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,56,Outro,"(Hey, hey, hey, hey, hey, hey)",Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,57,Outro,Slam your body down and wind it all around,All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,57,Outro,Slam your body down and wind it all around,Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,58,Outro,"Slam your body down and ""zig-a-zig"", ah",All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,58,Outro,"Slam your body down and ""zig-a-zig"", ah",Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,59,Outro,"(Uh, uh, uh, uh)",All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,59,Outro,"(Uh, uh, uh, uh)",Scary,261.0,52.0
Spice Girls,Spice,1,89740,Wannabe,60,Outro,If you wanna be my lover,All,250.0,51.0
Spice Girls,Spice,1,89740,Wannabe,60,Outro,If you wanna be my lover,Scary,261.0,52.0
Spice Girls,Spice,2,590894,Say You’ll Be There,1,Intro,"Ah, say you'll be there",Sporty,231.0,13.0
Spice Girls,Spice,2,590894,Say You’ll Be There,1,Intro,"Ah, say you'll be there",All,250.0,18.0
Spice Girls,Spice,2,590894,Say You’ll Be There,2,Intro,I'm giving you everything,Sporty,231.0,13.0
Spice Girls,Spice,2,590894,Say You’ll Be There,2,Intro,I'm giving you everything,All,250.0,18.0
Spice Girls,Spice,2,590894,Say You’ll Be There,3,Intro,"All that joy can bring, this I swear",Sporty,231.0,13.0
Spice Girls,Spice,2,590894,Say You’ll Be There,3,Intro,"All that joy can bring, this I swear",All,250.0,18.0
Spice Girls,Spice,2,590894,Say You’ll Be There,4,Verse 1,Last time that we had this conversation,Baby,233.0,114.0
